,waktu,user,text,STOP_REMOVAL,STEMMING,labeling
271,2022-08-13 12:38:38+00:00,inahsejeong_83, inilah model citayam fashion week kesayangan kita semua ekavira, model citayam fashion week kesayangan ekavira,model citayam fashion week sayang ekavira,not bully
272,2022-08-13 12:35:02+00:00,nokitron,ciee kemarin homofobianya terlalu jinak ngejek queer citayam makanya kena blunder sekarang nyari fenomena yang ,ciee kemarin homofobianya jinak ngejek queer citayam kena blunder nyari fenomena ,ciee kemarin homofobianya jinak ngejek queer citayam kena blunder nyari fenomena,bully
273,2022-08-13 12:32:36+00:00,aboutcirebonid,bergaya ala citayam fashion week forum bisnis cirebon gelar gerakan kebaya goes unesco,bergaya ala citayam fashion week forum bisnis cirebon gelar gerakan kebaya goes unesco,gaya ala citayam fashion week forum bisnis cirebon gelar gera kebaya goes unesco,not bully
274,2022-08-13 12:18:25+00:00,_elisabethmerry, ampunn papaku nek ngarani jeje citayam fashion week iku slebew rekkk said iku loh dek slebew iku loh, ampunn papaku nek ngarani jeje citayam fashion week iku slebew rekkk said iku loh dek slebew iku loh,ampunn papa nek ngarani jeje citayam fashion week iku slebew rekkk said iku loh dek slebew iku loh,not bully
275,2022-08-13 12:17:08+00:00,juboo2101,pesrta fashion week citayam,pesrta fashion week citayam,pesrta fashion week citayam,bully
276,2022-08-13 12:15:16+00:00,yogurtmatcha24, inilah model citayam fashion week kesayangan kita semua ekavira, model citayam fashion week kesayangan ekavira,model citayam fashion week sayang ekavira,not bully
277,2022-08-13 12:12:44+00:00,yogurtmatcha24,inilah model citayam fashion week kesayangan kita semua ekavira,model citayam fashion week kesayangan ekavira,model citayam fashion week sayang ekavira,not bully
278,2022-08-13 12:12:19+00:00,tahu67516629,roy citayam,roy citayam,roy citayam,bully
279,2022-08-13 12:09:05+00:00,lk2fhui,melihat adanya potensi tersebut dua pihak memperebutkan hak merek citayam fashion week setelah kegiatan peragaan ,potensi memperebutkan hak merek citayam fashion week kegiatan peragaan ,potensi rebut hak merek citayam fashion week giat aga,not bully
280,2022-08-13 12:09:01+00:00,lk2fhui,tribune express lk2 fhui edisi agustus 2022 fenomena citayam fashion week cfw telah menjadi sorotan publi,tribune express lk2 fhui edisi agustus 2022 fenomena citayam fashion week cfw sorotan publi,tribune express lk2 fhui edisi agustus 2022 fenomena citayam fashion week cfw sorot publi,not bully
281,2022-08-13 12:07:05+00:00,aikyuuuuuu, idn2 area citayam fashion week ditutup tapi kenapa masih ramai mmc news pihak keamanan tlh mntup cfw karena mengganggu lalu , idn2 area citayam fashion week ditutup ramai mmc news keamanan tlh mntup cfw mengganggu ,idn2 area citayam fashion week tutup ramai mmc news aman tlh mntup cfw ganggu,not bully
282,2022-08-13 12:05:55+00:00,aikyuuuuuu, idn2 fenomena abg perokok aktif citayam fashion week mmc millenials sob apa pendapat kalian kalau melihat anak2 abg lagi , idn2 fenomena abg perokok aktif citayam fashion week mmc millenials sob pendapat anak2 abg ,idn2 fenomena abg okok aktif citayam fashion week mmc millenials sob dapat anak2 abg,not bully
283,2022-08-13 12:03:40+00:00,wulandj0383, idn2 fenomena abg perokok aktif citayam fashion week mmc millenials sob apa pendapat kalian kalau melihat anak2 abg lagi , idn2 fenomena abg perokok aktif citayam fashion week mmc millenials sob pendapat anak2 abg ,idn2 fenomena abg okok aktif citayam fashion week mmc millenials sob dapat anak2 abg,not bully
284,2022-08-13 12:01:04+00:00,akakrross, menfess kdm big mouth minggir nanti foto tapi minggir dolooo changho citayam, menfess kdm big mouth minggir foto minggir dolooo changho citayam,menfess kdm big mouth minggir foto minggir dolooo changho citayam,not bully
285,2022-08-13 11:53:51+00:00,cardi29thereal,tonton rumah ditengah kuburan citayam youtube,tonton rumah ditengah kuburan citayam youtube,tonton rumah tengah kubur citayam youtube,not bully
286,2022-08-13 11:53:08+00:00,kompasiana,meredanya demam citayam fashion week cfw membuat kawasan taman dukuh atas jakarta pusat tak lagi ramai seperti,meredanya demam citayam fashion week cfw kawasan taman dukuh jakarta pusat ramai,reda demam citayam fashion week cfw kawasan taman dukuh jakarta pusat ramai,not bully
287,2022-08-13 11:38:33+00:00,juanlida18,waduh ada fenomena pemuda citayam nih apa yuk tonton mmc millenials islamkaffah,fenomena pemuda citayam nih yuk tonton mmc millenials islamkaffah,fenomena pemuda citayam nih yuk tonton mmc millenials islamkaffah,not bully
288,2022-08-13 11:37:45+00:00,indozonemedia,prilly latuconsina memberikan respons menohok menanggapi aksi jeje citayam fashion week yang ngamuk saat dikerubun,prilly latuconsina respons menohok menanggapi aksi jeje citayam fashion week ngamuk dikerubun,prilly latuconsina respons tohok tanggap aksi jeje citayam fashion week ngamuk dikerubun,not bully
289,2022-08-13 11:36:21+00:00,ibuyusuf1, idn2 fenomena abg perokok aktif citayam fashion week mmc millenials sob apa pendapat kalian kalau melihat anak2 abg lagi , idn2 fenomena abg perokok aktif citayam fashion week mmc millenials sob pendapat anak2 abg ,idn2 fenomena abg okok aktif citayam fashion week mmc millenials sob dapat anak2 abg,bully
290,2022-08-13 11:28:21+00:00,chwiminnie13,bocil gue kayak jamet citayam,bocil gue kayak jamet citayam,bocil gue kayak jamet citayam,bully
291,2022-08-13 11:26:12+00:00,wonwoooddy,gak citayam aja sekalian hee,gak citayam aja hee,gak citayam aja hee,bully
292,2022-08-13 11:10:13+00:00,ryolandafit, kawasan dukuh atas yang kerap dipakai untuk kegiatan citayam fashion week atau cfw mulai dipadati warga sore ini, kawasan dukuh kerap dipakai kegiatan citayam fashion week cfw dipadati warga sore,kawasan dukuh kerap pakai giat citayam fashion week cfw padat warga sore,not bully
293,2022-08-13 11:02:59+00:00,detikcom,kawasan dukuh atas yang kerap dipakai untuk kegiatan citayam fashion week atau cfw mulai dipadati warga sore ini,kawasan dukuh kerap dipakai kegiatan citayam fashion week cfw dipadati warga sore,kawasan dukuh kerap pakai giat citayam fashion week cfw padat warga sore,not bully
294,2022-08-13 11:01:20+00:00,sganodrm,apa propan mau keluarin warna baru citayam fashion week,propan keluarin warna citayam fashion week,prop keluarin warna citayam fashion week,not bully
295,2022-08-13 11:00:08+00:00,penii_me, ada semarang citayam, semarang citayam,semarang citayam,not bully
296,2022-08-13 10:41:41+00:00,shopee_yuuki, rekomendasi barang cewek barbie thread tags cinta laura citayam fashion week dingin 7dream pak talk that , rekomendasi barang cewek barbie thread tags cinta laura citayam fashion week dingin 7dream talk that ,rekomendasi barang cewek barbie thread tags cinta laura citayam fashion week dingin 7dream talk that,not bully
297,2022-08-13 10:32:22+00:00,kaksangyeonbae,bocah gabut melihat citayam fashion week,bocah gabut citayam fashion week,bocah gabut citayam fashion week,not bully
298,2022-08-13 10:31:42+00:00,kochengfs,kucing stasiun citayam guys sejauh ini aku sudah menemukan anabul stasiun citayam,kucing stasiun citayam guys menemukan anabul stasiun citayam,kucing stasiun citayam guys temu anabul stasiun citayam,not bully
299,2022-08-13 10:30:00+00:00,celebdotid,rizky billar dan lesti kejora tiru gaya bonge dan jeje citayam fashion week netizen heboh celebritiesdotid,rizky billar lesti kejora tiru gaya bonge jeje citayam fashion week netizen heboh celebritiesdotid,rizky billar lesti kejora tiru gaya bonge jeje citayam fashion week netizen heboh celebritiesdotid,not bully
300,2022-08-13 10:28:30+00:00,jvchnwoo,dimane pak gaada citayam fashion week aja udah macet,dimane gaada citayam fashion week aja udah macet,dimane gaada citayam fashion week aja udah macet,bully
301,2022-08-13 10:21:09+00:00,yeotjn,selain jadi tiktokers dengan pengikut yang kebanyakan orang citayam itu dia juga terpil,tiktokers pengikut kebanyakan orang citayam terpil,tiktokers ikut banyak orang citayam pil,bully
302,2022-08-13 10:11:27+00:00,yeotjn,cakep tinggi menawan sebenernya cukup menjadikan alasan dia menjadi seorang model ,cakep menawan sebenernya menjadikan alasan model ,cakep tawan sebenernya jadi alas model,not bully
303,2022-08-13 10:07:46+00:00,ehvinaaa,depok lawan dong jgn sampe citayam klaim kota lain,depok lawan jgn sampe citayam klaim kota,depok lawan jgn sampe citayam klaim kota,not bully
304,2022-08-13 10:07:19+00:00,jichuh, stasiun mrt dukuh atas memegang kamera berjalan ber, stasiun mrt dukuh memegang kamera berjalan ber,stasiun mrt dukuh pegang kamera jalan ber,not bully
305,2022-08-13 10:02:20+00:00,indjnsr, idn2 fenomena abg perokok aktif citayam fashion week mmc millenials sob apa pendapat kalian kalau melihat anak2 abg lagi , idn2 fenomena abg perokok aktif citayam fashion week mmc millenials sob pendapat anak2 abg ,idn2 fenomena abg okok aktif citayam fashion week mmc millenials sob dapat anak2 abg,bully
306,2022-08-13 09:59:30+00:00,laelissaa, stasiun mrt dukuh atas memegang kamera ber, stasiun mrt dukuh memegang kamera ber,stasiun mrt dukuh pegang kamera ber,not bully
307,2022-08-13 09:56:49+00:00,nfitss,naik kereta jam segini gerbong sama anak2 citayam fashion week rame betulll jadi pusat perhatian,kereta jam segini gerbong anak2 citayam fashion week rame betulll pusat perhatian,kereta jam gin gerbong anak2 citayam fashion week rame betulll pusat perhati,not bully
308,2022-08-13 09:54:26+00:00,citayam_fw,penafsiran akreditasi perguruan tinggi citayamfashionweek cfw,penafsiran akreditasi perguruan citayamfashionweek cfw,tafsir akreditasi guru citayamfashionweek cfw,not bully
309,2022-08-13 09:54:25+00:00,citayam_fw,mengenal lebih dekat sosok aditya salah satu pencetus scbd fashion week kicaunews citayamfashionweek cfw,mengenal sosok aditya salah pencetus scbd fashion week kicaunews citayamfashionweek cfw,kenal sosok aditya salah cetus scbd fashion week kicaunews citayamfashionweek cfw,not bully
310,2022-08-13 09:51:15+00:00,tribunmedan,fantastis seginilah tarif endorse bonge dan jeje citayam gaji umr jakarta lewat via,fantastis seginilah tarif endorse bonge jeje citayam gaji umr jakarta via,fantastis gin tarif endorse bonge jeje citayam gaji umr jakarta via,not bully
311,2022-08-13 09:51:07+00:00,bergeloralah,ini baru pro milenial bima arya kesal saat citayam fashion week dibubarkan pak anies bonge dan jeje silakan dat,pro milenial bima arya kesal citayam fashion week dibubarkan anies bonge jeje silakan dat,pro milenial bima arya kesal citayam fashion week bubar anies bonge jeje sila dat,not bully
312,2022-08-13 09:47:17+00:00,kdwi98171892, eksis ala ala citayam fashion week ramaikan retweet , eksis ala ala citayam fashion week ramaikan retweet ,eks ala ala citayam fashion week ramai retweet,not bully
313,2022-08-13 09:35:43+00:00,piratesgrave,napa citayam aja sih pada sesuai nama malah explore kota laen heran,napa citayam aja sih sesuai nama explore kota laen heran,napa citayam aja sih sesuai nama explore kota laen heran,bully
314,2022-08-13 09:30:00+00:00,buddykuofficial,rizky billar dan lesti kejora tiru gaya bonge dan jeje citayam fashion week netizen heboh,rizky billar lesti kejora tiru gaya bonge jeje citayam fashion week netizen heboh,rizky billar lesti kejora tiru gaya bonge jeje citayam fashion week netizen heboh,not bully
315,2022-08-13 09:27:11+00:00,bintangkuchika,liong bulan cuma ada dibogor sampe citayam doang,liong dibogor sampe citayam doang,liong bogor sampe citayam doang,not bully
316,2022-08-13 09:22:56+00:00,chimonisasi,dah bubar citayam,dah bubar citayam,dah bubar citayam,bully
317,2022-08-13 09:20:37+00:00,tempodotco,bima arya sentil pemprov dki soal citayam fashion week orang kan bilang macet buat aturan dong tempometro,bima arya sentil pemprov dki citayam fashion week orang bilang macet aturan tempometro,bima arya sentil pemprov dki citayam fashion week orang bilang macet atur tempometro,bully
318,2022-08-13 09:16:13+00:00,piiiiiiwwwpiii, cardi cable premium rajut tag bintang emon citayam fashion week difitnah baim wong, cardi cable premium rajut tag bintang emon citayam fashion week difitnah baim,cardi cable premium rajut tag bintang emon citayam fashion week fitnah baim,not bully
319,2022-08-13 09:10:30+00:00,collegemenfess, ketinggalan kereta nambo lagi ini jam stasiun citayam enaknya ngapain yah, ketinggalan kereta nambo jam stasiun citayam enaknya ngapain yah,tinggal kereta nambo jam stasiun citayam enak ngapain yah,not bully
320,2022-08-13 09:08:28+00:00,mischocho,lah mana alun alun bogor anak citayam ampe cilebut turun kereta langsung alun alun ,alun alun bogor anak citayam ampe cilebut turun kereta langsung alun alun ,alun alun bogor anak citayam ampe cilebut turun kereta langsung alun alun,not bully
321,2022-08-13 09:00:14+00:00,keyninetea, menfess punten temen temen semuaaa kami dari cultural night 2022 lagi open donasi nih buat sanggar kesenian yang berada citaya, menfess punten temen temen semuaaa cultural night 2022 open donasi nih sanggar kesenian citaya,menfess punten temen temen semuaaa cultural night 2022 open donasi nih sanggar seni citaya,not bully
322,2022-08-13 08:55:22+00:00,cigaftrsegs,anjing bocil citayam,anjing bocil citayam,anjing bocil citayam,bully
323,2022-08-13 08:54:25+00:00,citayam_fw,tanda kiamat depan mata salah satunnya seorang anak ingat kisah citayem fashion week citayamfashionweek cfw,tanda kiamat mata salah satunnya anak kisah citayem fashion week citayamfashionweek cfw,tanda kiamat mata salah satunnya anak kisah citayem fashion week citayamfashionweek cfw,not bully
324,2022-08-13 08:54:25+00:00,citayam_fw,viral lagu joko tingkir ngombe dawet gus muwafiq saya jengkel dengar itu kabar trenggalek citayamfashionweek,viral lagu joko tingkir ngombe dawet gus muwafiq jengkel dengar kabar trenggalek citayamfashionweek,viral lagu joko tingkir ngombe dawet gus muwafiq jengkel dengar kabar trenggalek citayamfashionweek,not bully
325,2022-08-13 08:54:24+00:00,citayam_fw,garuda indonesia optimalkan dukungan pemegang saham terhadap misi restrukturisasi kinerja citayamfashionweek cfw,garuda indonesia optimalkan dukungan pemegang saham misi restrukturisasi kinerja citayamfashionweek cfw,garuda indonesia optimal dukung pegang saham misi restrukturisasi kerja citayamfashionweek cfw,not bully
326,2022-08-13 08:52:54+00:00,iilleegirl, pernahhh nangis krl gara2 liat ujan gede sumpah abis turun trus sadar anjr knp nangis , pernahhh nangis krl gara2 liat ujan gede sumpah abis turun trus sadar anjr knp nangis ,pernahhh nang krl gara2 liat ujan gede sumpah abis turun trus sadar anjr knp nang,not bully
327,2022-08-13 08:46:02+00:00,stroberilongkek,apo sebenernya anak citayam,apo sebenernya anak citayam,apo sebenernya anak citayam,bully
328,2022-08-13 08:45:15+00:00,rahul18449536, virus citayam fashion week udah nyampe banjarmasin, virus citayam fashion week udah nyampe banjarmasin,virus citayam fashion week udah nyampe banjarmasin,bully
329,2022-08-13 08:26:41+00:00,itsurjoyie,joyie siap meluncur unnie unnie dimana coba sharelock nanti joyie kesana joyie pun berjalan jalan,joyie meluncur unnie unnie dimana coba sharelock joyie kesana joyie berjalan jalan,joyie luncur unnie unnie mana coba sharelock joyie kesana joyie jalan jalan,not bully
330,2022-08-13 08:20:19+00:00,msnafia,aku tau merk ini udh lama dari sebelum cabang jadi korban penyerangan iya kalian nggak salah baca kofi,tau merk udh cabang korban penyerangan iya nggak salah baca kofi,tau merk udh cabang korban serang iya nggak salah baca kofi,not bully
331,2022-08-13 08:19:41+00:00,mdaudd,jakut tetap sah dan bisa dipake kalau mau jalan2 citayam,jakut sah dipake jalan2 citayam,jakut sah dipake jalan2 citayam,not bully
332,2022-08-13 08:17:07+00:00,jjaayyssyy, menfess kdm big mouth minggir nanti foto tapi minggir dolooo changho citayam, menfess kdm big mouth minggir foto minggir dolooo changho citayam,menfess kdm big mouth minggir foto minggir dolooo changho citayam,not bully
333,2022-08-13 07:56:06+00:00,jalansantaii, 2792 btw usaha mendaftarkan citayam fashion week kemarin jika beneran jadi bakalan kayak kasus rumah makan , 2792 btw usaha mendaftarkan citayam fashion week kemarin beneran kayak rumah makan ,2792 btw usaha daftar citayam fashion week kemarin beneran kayak rumah makan,not bully
334,2022-08-13 07:55:09+00:00,xgiyel,aku abis dari karet wkwk tpi udh citayam mau cibinong wkw,abis karet wkwk tpi udh citayam cibinong wkw,abis karet wkwk tpi udh citayam cibinong wkw,not bully
335,2022-08-13 07:54:40+00:00,citayam_fw,rizky billar dan lesti kejora tiru gaya bonge dan jeje citayam fashion week netizen heboh citayamfashionweek cfw,rizky billar lesti kejora tiru gaya bonge jeje citayam fashion week netizen heboh citayamfashionweek cfw,rizky billar lesti kejora tiru gaya bonge jeje citayam fashion week netizen heboh citayamfashionweek cfw,not bully
336,2022-08-13 07:54:40+00:00,citayam_fw,hadirkan budi doremi yuk intip kemeriahan banyuwangi art week times indonesia citayamfashionweek cfw,hadirkan budi doremi yuk intip kemeriahan banyuwangi art week times indonesia citayamfashionweek cfw,hadir budi doremi yuk intip riah banyuwangi art week times indonesia citayamfashionweek cfw,not bully
337,2022-08-13 07:54:39+00:00,citayam_fw,bima arya ingin citayam fashion week berlanjut tawarkan sejumlah lokasi kota bogor citayamfashionweek cfw,bima arya citayam fashion week berlanjut tawarkan lokasi kota bogor citayamfashionweek cfw,bima arya citayam fashion week lanjut tawar lokasi kota bogor citayamfashionweek cfw,not bully
338,2022-08-13 07:54:39+00:00,citayam_fw,bima arya sesalkan citayam fashion week dukuh atas ditutup ajak bonge dkk main bogor citayamfashionweek cfw,bima arya sesalkan citayam fashion week dukuh ditutup ajak bonge dkk main bogor citayamfashionweek cfw,bima arya sesal citayam fashion week dukuh tutup ajak bonge dkk main bogor citayamfashionweek cfw,not bully
339,2022-08-13 07:54:38+00:00,citayam_fw,karier cemerlang camat payakumbuh timur dimutasi pasca buat konten ala citayem citayamfashionweek cfw,karier cemerlang camat payakumbuh timur dimutasi pasca konten ala citayem citayamfashionweek cfw,karier cemerlang camat payakumbuh timur mutasi pasca konten ala citayem citayamfashionweek cfw,not bully
340,2022-08-13 07:54:38+00:00,citayam_fw,citayam fashion week diusir dari jakarta bima arya ajak bonge main kota bogor citayamfashionweek cfw,citayam fashion week diusir jakarta bima arya ajak bonge main kota bogor citayamfashionweek cfw,citayam fashion week usir jakarta bima arya ajak bonge main kota bogor citayamfashionweek cfw,not bully
341,2022-08-13 07:54:37+00:00,citayam_fw,mandarin seputar citayam fashion week citayamfashionweek cfw,mandarin seputar citayam fashion week citayamfashionweek cfw,mandarin putar citayam fashion week citayamfashionweek cfw,not bully
342,2022-08-13 07:54:37+00:00,citayam_fw,sayangkan citayam fashion week sudirman tutup bima arya persilakan pakai ruang citayamfashionweek cfw,sayangkan citayam fashion week sudirman tutup bima arya persilakan pakai ruang citayamfashionweek cfw,sayang citayam fashion week sudirman tutup bima arya sila pakai ruang citayamfashionweek cfw,not bully
343,2022-08-13 07:54:36+00:00,citayam_fw,sambil nangis kurma ikon cfw sebut sang ayah tak bertanggungjawab poskota citayamfashionweek cfw,nangis kurma ikon cfw sang ayah bertanggungjawab poskota citayamfashionweek cfw,nang kurma ikon cfw sang ayah bertanggungjawab poskota citayamfashionweek cfw,bully
344,2022-08-13 07:54:36+00:00,citayam_fw,salman rushdie penulis novel ayat ayat setan yang menistakan agama islam ditikam citayamfashionweek cfw,salman rushdie penulis novel ayat ayat setan menistakan agama islam ditikam citayamfashionweek cfw,salman rushdie tulis novel ayat ayat setan nista agama islam tikam citayamfashionweek cfw,not bully
345,2022-08-13 07:54:35+00:00,citayam_fw, daerah dengan tradisi unik rayakan kemerdekaan indonesia gensindo citayamfashionweek cfw, daerah tradisi unik rayakan kemerdekaan indonesia gensindo citayamfashionweek cfw,daerah tradisi unik raya merdeka indonesia gensindo citayamfashionweek cfw,not bully
346,2022-08-13 07:54:34+00:00,citayam_fw,kagum tomy winata pemilik kawasan scbd ternyata pernah jadi kuli bangunan,kagum tomy winata pemilik kawasan scbd kuli bangunan,kagum tomy winata milik kawasan scbd kuli bangun,not bully
347,2022-08-13 07:54:34+00:00,citayam_fw,strong gaya gisel workout angkat barbel berat badan langsing banjir pujian,strong gaya gisel workout angkat barbel berat badan langsing banjir pujian,strong gaya gisel workout angkat barbel berat badan langsing banjir puji,not bully
348,2022-08-13 07:54:33+00:00,citayam_fw,demam citayam fashion week merembet batam kepri post pikiran rakyat citayamfashionweek cfw,demam citayam fashion week merembet batam kepri post pikiran rakyat citayamfashionweek cfw,demam citayam fashion week rembet batam kepri post pikir rakyat citayamfashionweek cfw,not bully
349,2022-08-13 07:54:32+00:00,citayam_fw,polisi dalami serbuk diduga sabu yang ditemukan pelajar jaksel citayamfashionweek cfw,polisi dalami serbuk diduga sabu ditemukan pelajar jaksel citayamfashionweek cfw,polisi dalam serbuk duga sabu temu ajar jaksel citayamfashionweek cfw,not bully
350,2022-08-13 07:54:31+00:00,citayam_fw,bima sayangkan citayam fashion week dihentikan antara news megapolitan citayamfashionweek cfw,bima sayangkan citayam fashion week dihentikan news megapolitan citayamfashionweek cfw,bima sayang citayam fashion week henti news megapolitan citayamfashionweek cfw,not bully
351,2022-08-13 07:54:31+00:00,citayam_fw,citayam fashion week jakarta ditutup bogor siap menampung citayamfashionweek cfw,citayam fashion week jakarta ditutup bogor menampung citayamfashionweek cfw,citayam fashion week jakarta tutup bogor tampung citayamfashionweek cfw,not bully
352,2022-08-13 07:54:30+00:00,citayam_fw,bima arya persilakan citayam fashion week pindah kota bogor republika online citayamfashionweek cfw,bima arya persilakan citayam fashion week pindah kota bogor republika online citayamfashionweek cfw,bima arya sila citayam fashion week pindah kota bogor republika online citayamfashionweek cfw,not bully
353,2022-08-13 07:54:30+00:00,citayam_fw,kurma citayam fashion week menangis podcast boy william minta ayahnya tanggung jawab citayamfashionweek cfw,kurma citayam fashion week menangis podcast boy william ayahnya tanggung citayamfashionweek cfw,kurma citayam fashion week menang podcast boy william ayah tanggung citayamfashionweek cfw,not bully
354,2022-08-13 07:54:29+00:00,citayam_fw,prabowo diminta bersedia maju capres pilpres 2024 republika online citayamfashionweek cfw,prabowo bersedia maju capres pilpres 2024 republika online citayamfashionweek cfw,prabowo sedia maju capres pilpres 2024 republika online citayamfashionweek cfw,not bully
355,2022-08-13 07:44:23+00:00,phaysia_, menfess punten temen temen semuaaa kami dari cultural night 2022 lagi open donasi nih buat sanggar kesenian yang berada citaya, menfess punten temen temen semuaaa cultural night 2022 open donasi nih sanggar kesenian citaya,menfess punten temen temen semuaaa cultural night 2022 open donasi nih sanggar seni citaya,not bully
356,2022-08-13 07:39:34+00:00,baekhyun92rn, menfess kdm big mouth minggir nanti foto tapi minggir dolooo changho citayam, menfess kdm big mouth minggir foto minggir dolooo changho citayam,menfess kdm big mouth minggir foto minggir dolooo changho citayam,not bully
357,2022-08-13 07:34:38+00:00,athenaabira, rekomendasi totebag baim wong paula citayam fashion week dingin maria confess, rekomendasi totebag baim paula citayam fashion week dingin maria confess,rekomendasi totebag baim paula citayam fashion week dingin maria confess,not bully
358,2022-08-13 07:10:48+00:00,cky_____ss,outfit dah tinggal gas fashion citayam bang,outfit dah tinggal gas fashion citayam bang,outfit dah tinggal gas fashion citayam bang,bully
359,2022-08-13 07:10:12+00:00,ofjongsuk, menfess kdm big mouth minggir nanti foto tapi minggir dolooo changho citayam, menfess kdm big mouth minggir foto minggir dolooo changho citayam,menfess kdm big mouth minggir foto minggir dolooo changho citayam,not bully
360,2022-08-13 07:08:32+00:00,tomjerr92667042,sajak gak kaget kok banyak tuh anak gemulai supporter ajang pencarian bakat menyanyi salah satu ,sajak gak kaget tuh anak gemulai supporter ajang pencarian bakat menyanyi salah ,sajak gak kaget tuh anak gemulai supporter ajang cari bakat nyanyi salah,bully
361,2022-08-13 07:03:49+00:00,iwiwscough,tadi aku ngomongin citayam fashion week dan pesulap merah bareng driver gojek tadi drivernya ramah banget asli deh,ngomongin citayam fashion week pesulap merah bareng driver gojek drivernya ramah banget asli deh,ngomongin citayam fashion week sulap merah bareng driver gojek drivernya ramah banget asli deh,not bully
362,2022-08-13 06:57:05+00:00,caloterminl, 2792 btw usaha mendaftarkan citayam fashion week kemarin jika beneran jadi bakalan kayak kasus rumah makan , 2792 btw usaha mendaftarkan citayam fashion week kemarin beneran kayak rumah makan ,2792 btw usaha daftar citayam fashion week kemarin beneran kayak rumah makan,not bully
363,2022-08-13 06:55:08+00:00,psychopath_80,waras warisan anis kadrun asuedan emang top selain pndai merangkai kata pndai ganti nama jalan amp smpa,waras warisan anis kadrun asuedan emang top pndai merangkai pndai ganti nama jalan amp smpa,waras waris anis kadrun asuedan emang top pndai rangkai pndai ganti nama jalan amp smpa,not bully
364,2022-08-13 06:52:39+00:00,jonasjo07239735,teknik perkapalan uncit universitas citayam,teknik perkapalan uncit universitas citayam,teknik kapal uncit universitas citayam,not bully
365,2022-08-13 06:52:19+00:00,arief_2792,btw usaha mendaftarkan citayam fashion week kemarin jika beneran jadi bakalan kayak kasus rumah ,btw usaha mendaftarkan citayam fashion week kemarin beneran kayak rumah ,btw usaha daftar citayam fashion week kemarin beneran kayak rumah,not bully
366,2022-08-13 06:46:48+00:00,heyone99,saya memilih cepiaw ngobrolin tentang konspirasi citayam fashion week pernah viral pasti seru bgt,memilih cepiaw ngobrolin konspirasi citayam fashion week viral seru bgt,pilih cepiaw ngobrolin konspirasi citayam fashion week viral seru bgt,not bully
367,2022-08-13 06:36:25+00:00,wannafigh,bukan usernya kak kalo baju rafaela boleh lah bawa citayam fashion week,usernya kak kalo baju rafaela bawa citayam fashion week,usernya kak kalo baju rafaela bawa citayam fashion week,not bully
368,2022-08-13 06:30:11+00:00,restuu13,berharap banget ketemu henry tapi kan henry gak mungkin citayam wkwk iya gak bang,berharap banget ketemu henry henry gak citayam wkwk iya gak bang,harap banget ketemu henry henry gak citayam wkwk iya gak bang,bully
369,2022-08-13 06:16:56+00:00,kangsam70012085,kira camat aja penasaran citayam fashion week ternyata burung gagak juga,camat aja penasaran citayam fashion week burung gagak,camat aja penasaran citayam fashion week burung gagak,bully
370,2022-08-13 06:11:53+00:00,laelissaa, celamat ciang yan ganteng cangat athu lae dali indonesia citayam janan yupa , celamat ciang yan ganteng cangat athu lae dali indonesia citayam janan yupa ,camat ciang yan ganteng cangat athu lae dal indonesia citayam janan yupa,bully
371,2022-08-13 06:05:06+00:00,shinnaraaaa, menfess kdm big mouth minggir nanti foto tapi minggir dolooo changho citayam, menfess kdm big mouth minggir foto minggir dolooo changho citayam,menfess kdm big mouth minggir foto minggir dolooo changho citayam,not bully
372,2022-08-13 05:55:21+00:00,wlldbaby,kim bum cabang citayam diem deh,kim bum cabang citayam diem deh,kim bum cabang citayam diem deh,bully
373,2022-08-13 05:32:55+00:00,outsidearest, biblejeff jeffbible few tweets hanya tentang biben bible anak juragan beras dan jefri jeff anak pemili, biblejeff jeffbible few tweets biben bible anak juragan beras jefri jeff anak pemili,biblejeff jeffbible few tweets biben bible anak juragan beras jefri jeff anak pil,not bully
374,2022-08-13 05:15:18+00:00,andrew_7219,loren nikahi artis citayam aja bro biayanya murah,loren nikahi artis citayam aja bro biayanya murah,loren nikah artis citayam aja bro biaya murah,bully
375,2022-08-13 05:13:12+00:00,muneoda, ayang ayang citayam udh pulang gaes thankslebeww, ayang ayang citayam udh pulang gaes thankslebeww,ayang ayang citayam udh pulang gaes thankslebeww,not bully
376,2022-08-13 04:56:32+00:00,umufris, pemuda citayam perokok aktif duh gimana cerita nya tuh simak mmc millenials islamkaffah, pemuda citayam perokok aktif duh gimana cerita nya tuh simak mmc millenials islamkaffah,pemuda citayam okok aktif duh gimana cerita nya tuh simak mmc millenials islamkaffah,bully
377,2022-08-13 04:50:55+00:00,benzbara_, bima arya sesalkan citayam fashion week dukuh atas ditutup ajak bonge dkk main bogor tempom, bima arya sesalkan citayam fashion week dukuh ditutup ajak bonge dkk main bogor tempom,bima arya sesal citayam fashion week dukuh tutup ajak bonge dkk main bogor tempom,not bully
378,2022-08-13 04:49:08+00:00,sidia_05,baru sadar sudirman itu jauh anak2 citayam kenapa main disini,sadar sudirman anak2 citayam main,sadar sudirman anak2 citayam main,bully
